Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-03-11 05:25:48",34.027401,73.947253,10730,316,9673,741,"Azad Jammu and Kashmir, Pakistan",265.2417605724673,2.9450139794967383
Balochistan,Pakistan,"2021-03-11 05:25:48",28.328492,65.898403,19157,202,18845,110,"Balochistan, Pakistan",155.18767688171033,1.054444850446312
Gilgit-Baltistan,Pakistan,"2021-03-11 05:25:48",35.792146,74.982138,4959,104,4855,"Gilgit-Baltistan, Pakistan",489.25397401695363,2.097197015527324
Islamabad,Pakistan,"2021-03-11 05:25:48",33.665087,73.121219,46579,516,43435,2628,"Islamabad, Pakistan",2321.322135462869,1.1077953584233238
"Khyber Pakhtunkhwa",Pakistan,"2021-03-11 05:25:48",34.485332,72.09169,74722,2129,70044,2549,"Khyber Pakhtunkhwa, Pakistan",244.80258094690785,2.8492278043949573
Punjab,Pakistan,"2021-03-11 05:25:48",30.811346,72.13913199999998,180944,5662,167967,7315,"Punjab, Pakistan",164.47594173029992,3.1291449288177557
Sindh,Pakistan,"2021-03-11 05:25:48",26.009446,68.77680699999999,260406,4448,251673,4285,"Sindh, Pakistan",543.8034554154403,1.7081019638564396
