Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-11-08 05:24:56",34.027401,73.947253,4703,109,3624,970,"Azad Jammu and Kashmir, Pakistan",116.25647716424177,2.3176695726132257
Balochistan,Pakistan,"2020-11-08 05:24:56",28.328492,65.898403,16055,154,15683,218,"Balochistan, Pakistan",130.05888982282505,0.9592027405792588
Gilgit-Baltistan,Pakistan,"2020-11-08 05:24:56",35.792146,74.982138,4358,93,4096,169,"Gilgit-Baltistan, Pakistan",429.9594310880993,2.1340064249655804
Islamabad,Pakistan,"2020-11-08 05:24:56",33.665087,73.121219,21557,238,18971,2348,"Islamabad, Pakistan",1074.3197851858793,1.1040497286264324
"Khyber Pakhtunkhwa",Pakistan,"2020-11-08 05:24:56",34.485332,72.09169,40397,1288,38021,1088,"Khyber Pakhtunkhwa, Pakistan",132.34776722400682,3.1883555709582394
Punjab,Pakistan,"2020-11-08 05:24:56",30.811346,72.13913199999998,106577,2407,97614,6556,"Punjab, Pakistan",96.87722412343142,2.258461018793924
Sindh,Pakistan,"2020-11-08 05:24:56",26.009446,68.77680699999999,149542,2679,140408,6455,"Sindh, Pakistan",312.2871835892252,1.79146995492905
