Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-04-03 04:20:48",34.027401,73.947253,43276,792,,,"Azad Jammu and Kashmir, Pakistan",1069.7672349053214,1.8301136888806728
Balochistan,Pakistan,"2022-04-03 04:20:48",28.328491999999997,65.898403,35476,378,,,"Balochistan, Pakistan",287.38518687975966,1.0655090765588002
Gilgit-Baltistan,Pakistan,"2022-04-03 04:20:48",35.792146,74.982138,11710,191,,,"Gilgit-Baltistan, Pakistan",1155.3063189632041,1.6310845431255336
Islamabad,Pakistan,"2022-04-03 04:20:48",33.665087,73.121219,135088,1023,,,"Islamabad, Pakistan",6732.277735361601,0.7572841407082791
"Khyber Pakhtunkhwa",Pakistan,"2022-04-03 04:20:48",34.485332,72.09169,219106,6322,,,"Khyber Pakhtunkhwa, Pakistan",717.8302815898021,2.8853614232380673
Punjab,Pakistan,"2022-04-03 04:20:48",30.811346,72.13913199999998,505127,13558,,,"Punjab, Pakistan",459.15442909630167,2.6840774696264504
Sindh,Pakistan,"2022-04-03 04:20:48",26.009446,68.77680699999999,575683,8097,,,"Sindh, Pakistan",1202.1935156022785,1.4065032318133417
