Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-06-19 04:20:51",34.027401,73.947253,43359,792,,,"Azad Jammu and Kashmir, Pakistan",1071.8189652061149,1.8266103923060957
Balochistan,Pakistan,"2022-06-19 04:20:51",28.328492,65.898403,35512,378,,,"Balochistan, Pakistan",287.67681690365384,1.0644289254336563
Gilgit-Baltistan,Pakistan,"2022-06-19 04:20:51",35.792146,74.982138,11753,191,,,"Gilgit-Baltistan, Pakistan",1159.5486905870653,1.6251169914064494
Islamabad,Pakistan,"2022-06-19 04:20:51",33.665087,73.121219,135745,1024,,,"Islamabad, Pakistan",6765.020143807449,0.754355593207853
"Khyber Pakhtunkhwa",Pakistan,"2022-06-19 04:20:51",34.485332,72.09169,219787,6324,,,"Khyber Pakhtunkhwa, Pakistan",720.0613588846396,2.877331234331421
Punjab,Pakistan,"2022-06-19 04:20:51",30.811346,72.139132,507670,13566,,,"Punjab, Pakistan",461.46598582004026,2.6722083243051586
Sindh,Pakistan,"2022-06-19 04:20:51",26.009446,68.776807,578156,8108,,,"Sindh, Pakistan",1207.357858763505,1.402389666456804
