Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-02-25 05:24:57",34.027401,73.947253,10022,296,9097,629,"Azad Jammu and Kashmir, Pakistan",247.7402539102766,2.9535022949511074
Balochistan,Pakistan,"2021-02-25 05:24:57",28.328492,65.898403,19010,199,18732,79,"Balochistan, Pakistan",153.99685428414227,1.0468174644923725
Gilgit-Baltistan,Pakistan,"2021-02-25 05:24:57",35.792146,74.982138,4955,102,4836,17,"Gilgit-Baltistan, Pakistan",488.85933479612936,2.058526740665994
Islamabad,Pakistan,"2021-02-25 05:24:57",33.665087,73.121219,43901,494,41640,1767,"Islamabad, Pakistan",2187.8606897734044,1.1252591057151318
"Khyber Pakhtunkhwa",Pakistan,"2021-02-25 05:24:57",34.485332,72.09169,71490,2058,67448,1984,"Khyber Pakhtunkhwa, Pakistan",234.21397328624025,2.87872429710449
Punjab,Pakistan,"2021-02-25 05:24:57",30.811346,72.13913199999998,169474,5308,157459,6707,"Punjab, Pakistan",154.0498482889781,3.1320438533344346
Sindh,Pakistan,"2021-02-25 05:24:57",26.009446,68.77680699999999,257089,4315,240676,12098,"Sindh, Pakistan",536.8765948146362,1.678407088595778
