Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-12-22 05:22:33",34.027401,73.947253,8015,210,6975,830,"Azad Jammu and Kashmir, Pakistan",198.12793205855786,2.6200873362445414
Balochistan,Pakistan,"2020-12-22 05:22:33",28.328492,65.898403,17950,179,17408,363,"Balochistan, Pakistan",145.40997024725692,0.9972144846796658
Gilgit-Baltistan,Pakistan,"2020-12-22 05:22:33",35.792146,74.982138,4831,99,4636,96,"Gilgit-Baltistan, Pakistan",476.6255189505754,2.0492651624922376
Islamabad,Pakistan,"2020-12-22 05:22:33",33.665087,73.121219,36416,393,30761,5262,"Islamabad, Pakistan",1814.8364474337327,1.0791959578207382
"Khyber Pakhtunkhwa",Pakistan,"2020-12-22 05:22:33",34.485332,72.09169,55450,1553,49445,4452,"Khyber Pakhtunkhwa, Pakistan",181.66407635644177,2.800721370604148
Punjab,Pakistan,"2020-12-22 05:22:33",30.811346,72.13913199999998,132526,3688,120110,8728,"Punjab, Pakistan",120.46455618174534,2.782850157704903
Sindh,Pakistan,"2020-12-22 05:22:33",26.009446,68.77680699999999,205484,3352,181602,20530,"Sindh, Pakistan",429.1103478129779,1.6312705612115785
