Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-02-22 05:24:21",34.027401,73.947253,9828,288,8971,569,"Azad Jammu and Kashmir, Pakistan",242.94464332769888,2.93040293040293
Balochistan,Pakistan,"2021-02-22 05:24:21",28.328492,65.898403,18988,199,18708,81,"Balochistan, Pakistan",153.8186359362069,1.0480303349483884
Gilgit-Baltistan,Pakistan,"2021-02-22 05:24:21",35.792146,74.982138,4951,102,4821,28,"Gilgit-Baltistan, Pakistan",488.464695575305,2.0601898606342153
Islamabad,Pakistan,"2021-02-22 05:24:21",33.665087,73.121219,43485,492,41363,1630,"Islamabad, Pakistan",2167.128814714847,1.1314246291824768
"Khyber Pakhtunkhwa",Pakistan,"2021-02-22 05:24:21",34.485332,72.09169,71043,2036,66885,2122,"Khyber Pakhtunkhwa, Pakistan",232.74952166980512,2.865869966076883
Punjab,Pakistan,"2021-02-22 05:24:21",30.811346,72.13913199999998,167819,5208,155632,6979,"Punjab, Pakistan",152.5454729929547,3.1033434831574493
Sindh,Pakistan,"2021-02-22 05:24:21",26.009446,68.77680699999999,256220,4292,239111,12817,"Sindh, Pakistan",535.0618701049289,1.675122941222387
