Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-09-14 04:21:41",34.027401,73.947253,33432,724,,,"Azad Jammu and Kashmir, Pakistan",826.4270773027707,2.1655898540320653
Balochistan,Pakistan,"2021-09-14 04:21:41",28.328491999999997,65.898403,32618,344,,,"Balochistan, Pakistan",264.2330033161574,1.054632411551904
Gilgit-Baltistan,Pakistan,"2021-09-14 04:21:41",35.792146,74.982138,10168,182,,,"Gilgit-Baltistan, Pakistan",1003.1728993354276,1.789929189614477
Islamabad,Pakistan,"2021-09-14 04:21:41",33.665087,73.121219,103125,889,,,"Islamabad, Pakistan",5139.362056283054,0.8620606060606061
"Khyber Pakhtunkhwa",Pakistan,"2021-09-14 04:21:41",34.485332,72.09169,169040,5290,,,"Khyber Pakhtunkhwa, Pakistan",553.8051481928388,3.129436819687648
Punjab,Pakistan,"2021-09-14 04:21:41",30.811346,72.13913199999998,415654,12259,,,"Punjab, Pakistan",377.8245373373314,2.9493280468851495
Sindh,Pakistan,"2021-09-14 04:21:41",26.009446,68.77680699999999,446045,7177,,,"Sindh, Pakistan",931.4716721994887,1.609030478987546
