Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-10-03 04:23:40",34.027401,73.947253,2776,75,2395,306,"Azad Jammu and Kashmir, Pakistan",68.62172668678187,2.701729106628242
Balochistan,Pakistan,"2020-10-03 04:23:40",28.328492,65.898403,15323,146,14233,944,"Balochistan, Pakistan",124.1290793369759,0.9528160281929127
Gilgit-Baltistan,Pakistan,"2020-10-03 04:23:40",35.792146,74.982138,3816,88,3411,317,"Gilgit-Baltistan, Pakistan",376.48581666640365,2.3060796645702304
Islamabad,Pakistan,"2020-10-03 04:23:40",33.665087,73.121219,16713,183,15983,547,"Islamabad, Pakistan",832.913047725175,1.0949560222581225
"Khyber Pakhtunkhwa",Pakistan,"2020-10-03 04:23:40",34.485332,72.09169,37908,1260,36140,508,"Khyber Pakhtunkhwa, Pakistan",124.19335990117213,3.3238366571699904
Punjab,Pakistan,"2020-10-03 04:23:40",30.811346,72.13913199999998,99665,2238,95701,1726,"Punjab, Pakistan",90.59429841581009,2.2455225003762607
Sindh,Pakistan,"2020-10-03 04:23:40",26.009446,68.77680699999999,137783,2517,130730,4536,"Sindh, Pakistan",287.7309720110352,1.82678559764267
