Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-02-26 04:21:12",34.027401,73.947253,42909,787,,,"Azad Jammu and Kashmir, Pakistan",1060.6951262259088,1.8341140553263884
Balochistan,Pakistan,"2022-02-26 04:21:12",28.328491999999997,65.898403,35322,375,,,"Balochistan, Pakistan",286.1376584442121,1.0616612875828095
Gilgit-Baltistan,Pakistan,"2022-02-26 04:21:12",35.792146,74.982138,11461,190,,,"Gilgit-Baltistan, Pakistan",1130.7400274668898,1.6577960038391066
Islamabad,Pakistan,"2022-02-26 04:21:12",33.665087,73.121219,134240,1009,,,"Islamabad, Pakistan",6690.016605434542,0.7516388557806913
"Khyber Pakhtunkhwa",Pakistan,"2022-02-26 04:21:12",34.485332,72.09169,215936,6237,,,"Khyber Pakhtunkhwa, Pakistan",707.44479697213,2.8883558091286305
Punjab,Pakistan,"2022-02-26 04:21:12",30.811346,72.13913199999998,500789,13493,,,"Punjab, Pakistan",455.21123874334137,2.694348318353638
Sindh,Pakistan,"2022-02-26 04:21:12",26.009446,68.77680699999999,567000,8062,,,"Sindh, Pakistan",1184.0608865408424,1.4218694885361551
