Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-07-02 04:21:47",34.027401,73.947253,20405,583,19332,490,"Azad Jammu and Kashmir, Pakistan",504.4042986468962,2.857142857142857
Balochistan,Pakistan,"2021-07-02 04:21:47",28.328492,65.898403,27242,309,26241,692,"Balochistan, Pakistan",220.6829197479539,1.134277953160561
Gilgit-Baltistan,Pakistan,"2021-07-02 04:21:47",35.792146,74.982138,6239,111,5748,380,"Gilgit-Baltistan, Pakistan",615.5385246807368,1.779131271037025
Islamabad,Pakistan,"2021-07-02 04:21:47",33.665087,73.121219,82779,779,80978,1022,"Islamabad, Pakistan",4125.39395546235,0.9410599306587419
"Khyber Pakhtunkhwa",Pakistan,"2021-07-02 04:21:47",34.485332,72.09169,138179,4324,132333,1522,"Khyber Pakhtunkhwa, Pakistan",452.6990154527821,3.129274347042604
Punjab,Pakistan,"2021-07-02 04:21:47",30.811346,72.13913199999998,346454,10761,327422,8271,"Punjab, Pakistan",314.9225612135762,3.1060400514931277
Sindh,Pakistan,"2021-07-02 04:21:47",26.009446,68.77680699999999,338387,5478,313376,19533,"Sindh, Pakistan",706.6504606947021,1.6188565163555337
