Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-09-11 04:46:23",34.027401,73.947253,2366,65,2205,96,"Azad Jammu and Kashmir, Pakistan",58.48667339370529,2.7472527472527473
Balochistan,Pakistan,"2020-09-11 04:46:23",28.328492,65.898403,13282,145,12251,886,"Balochistan, Pakistan",107.59527714897304,1.091703056768559
Gilgit-Baltistan,Pakistan,"2020-09-11 04:46:23",35.792146,74.982138,3131,73,2744,314,"Gilgit-Baltistan, Pakistan",308.9038501002384,2.331523474928138
Islamabad,Pakistan,"2020-09-11 04:46:23",33.665087,73.121219,15832,178,15270,384,"Islamabad, Pakistan",789.0073219401047,1.1243052046488125
"Khyber Pakhtunkhwa",Pakistan,"2020-09-11 04:46:23",34.485332,72.09169,36823,1256,34774,793,"Khyber Pakhtunkhwa, Pakistan",120.6387066487512,3.410911658474323
Punjab,Pakistan,"2020-09-11 04:46:23",30.811346,72.13913199999998,97533,2214,94258,1061,"Punjab, Pakistan",88.65633579881809,2.270000922764603
Sindh,Pakistan,"2020-09-11 04:46:23",26.009446,68.77680699999999,131404,2439,126704,2261,"Sindh, Pakistan",274.4097649647493,1.856107881038629
