Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-10-17 04:24:12",34.027401,73.947253,3398,81,2592,725,"Azad Jammu and Kashmir, Pakistan",83.99734412164437,2.3837551500882874
Balochistan,Pakistan,"2020-10-17 04:24:12",28.328492,65.898403,15644,146,15299,199,"Balochistan, Pakistan",126.72944705003269,0.933265149578113
Gilgit-Baltistan,Pakistan,"2020-10-17 04:24:12",35.792146,74.982138,4033,90,3685,258,"Gilgit-Baltistan, Pakistan",397.89499439612314,2.2315893875526904
Islamabad,Pakistan,"2020-10-17 04:24:12",33.665087,73.121219,17913,194,16620,1099,"Islamabad, Pakistan",892.7165334710143,1.083012337408586
"Khyber Pakhtunkhwa",Pakistan,"2020-10-17 04:24:12",34.485332,72.09169,38565,1265,36861,439,"Khyber Pakhtunkhwa, Pakistan",126.34580892130163,3.2801763256839105
Punjab,Pakistan,"2020-10-17 04:24:12",30.811346,72.13913199999998,101425,2288,97089,2048,"Punjab, Pakistan",92.19411746173219,2.255854079368992
Sindh,Pakistan,"2020-10-17 04:24:12",26.009446,68.77680699999999,141474,2574,134494,4406,"Sindh, Pakistan",295.4388533729791,1.8194155816616482
