Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-06-01 04:20:55",34.027401,73.947253,43334,792,,,"Azad Jammu and Kashmir, Pakistan",1071.200974151659,1.8276641897816956
Balochistan,Pakistan,"2022-06-01 04:20:55",28.328492,65.898403,35501,378,,,"Balochistan, Pakistan",287.5877077296862,1.0647587391904454
Gilgit-Baltistan,Pakistan,"2022-06-01 04:20:55",35.792146,74.982138,11749,191,,,"Gilgit-Baltistan, Pakistan",1159.154051366241,1.6256702698101966
Islamabad,Pakistan,"2022-06-01 04:20:55",33.665087,73.121219,135410,1024,,,"Islamabad, Pakistan",6748.325004036736,0.7562218447677425
"Khyber Pakhtunkhwa",Pakistan,"2022-06-01 04:20:55",34.485332,72.09169,219688,6324,,,"Khyber Pakhtunkhwa, Pakistan",719.7370172514694,2.878627872255198
Punjab,Pakistan,"2022-06-01 04:20:55",30.811346,72.139132,507202,13564,,,"Punjab, Pakistan",461.04057939192006,2.67427967555333
Sindh,Pakistan,"2022-06-01 04:20:55",26.009446,68.776807,577569,8106,,,"Sindh, Pakistan",1206.1320320608604,1.4034686764698243
