Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-07-11 04:34:26",34.027401,73.947253,1532,42,894,596,"Azad Jammu and Kashmir, Pakistan",37.87049181705685,2.741514360313316
Balochistan,Pakistan,"2020-07-11 04:34:26",28.328492,65.898403,11128,126,7224,3778,"Balochistan, Pakistan",90.14608071930222,1.1322789360172538
Gilgit-Baltistan,Pakistan,"2020-07-11 04:34:26",35.792146,74.982138,1630,36,1303,291,"Gilgit-Baltistan, Pakistan",160.81548248591142,2.208588957055215
Islamabad,Pakistan,"2020-07-11 04:34:26",33.665087,73.121219,13927,147,10441,3339,"Islamabad, Pakistan",694.0692883185851,1.0555036978530912
"Khyber Pakhtunkhwa",Pakistan,"2020-07-11 04:34:26",34.485332,72.09169,29775,1074,20271,8430,"Khyber Pakhtunkhwa, Pakistan",97.54820330952306,3.607052896725441
Punjab,Pakistan,"2020-07-11 04:34:26",30.811346,72.13913199999998,85991,1985,53836,30170,"Punjab, Pakistan",78.16479521470853,2.30838110965101
Sindh,Pakistan,"2020-07-11 04:34:26",26.009446,68.77680699999999,102368,1713,59165,41490,"Sindh, Pakistan",213.77415314534915,1.673374492028759
