Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-07-03 04:21:37",34.027401,73.947253,20458,586,19366,506,"Azad Jammu and Kashmir, Pakistan",505.7144396823427,2.86440512269039
Balochistan,Pakistan,"2021-07-03 04:21:37",28.328492,65.898403,27295,310,26297,688,"Balochistan, Pakistan",221.11226394979815,1.135739146363803
Gilgit-Baltistan,Pakistan,"2021-07-03 04:21:37",35.792146,74.982138,6331,111,5763,457,"Gilgit-Baltistan, Pakistan",624.6152267596963,1.753277523298057
Islamabad,Pakistan,"2021-07-03 04:21:37",33.665087,73.121219,82845,779,81014,1052,"Islamabad, Pakistan",4128.683147178372,0.9403102178767578
"Khyber Pakhtunkhwa",Pakistan,"2021-07-03 04:21:37",34.485332,72.09169,138306,4329,132393,1584,"Khyber Pakhtunkhwa, Pakistan",453.1150900731115,3.130016051364366
Punjab,Pakistan,"2021-07-03 04:21:37",30.811346,72.13913199999998,346582,10767,327686,8129,"Punjab, Pakistan",315.03891168964327,3.106624117813389
Sindh,Pakistan,"2021-07-03 04:21:37",26.009446,68.77680699999999,339268,5497,313868,19903,"Sindh, Pakistan",708.4902448940716,1.6202530153153258
