Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-10-28 04:24:39",34.027401,73.947253,3889,87,3045,757,"Azad Jammu and Kashmir, Pakistan",96.13468843115804,2.237078940601697
Balochistan,Pakistan,"2020-10-28 04:24:39",28.328492,65.898403,15859,149,15478,232,"Balochistan, Pakistan",128.47112635940096,0.939529604640898
Gilgit-Baltistan,Pakistan,"2020-10-28 04:24:39",35.792146,74.982138,4200,92,3939,169,"Gilgit-Baltistan, Pakistan",414.37118186553846,2.1904761904761907
Islamabad,Pakistan,"2020-10-28 04:24:39",33.665087,73.121219,19300,214,17547,1539,"Islamabad, Pakistan",961.83939574558,1.1088082901554404
"Khyber Pakhtunkhwa",Pakistan,"2020-10-28 04:24:39",34.485332,72.09169,39189,1271,37380,538,"Khyber Pakhtunkhwa, Pakistan",128.39014406370777,3.2432570364132793
Punjab,Pakistan,"2020-10-28 04:24:39",30.811346,72.13913199999998,103314,2342,97384,3588,"Punjab, Pakistan",93.91119597181564,2.266875738041311
Sindh,Pakistan,"2020-10-28 04:24:39",26.009446,68.77680699999999,144449,2604,137041,4804,"Sindh, Pakistan",301.6515185184095,1.8027123759942956
