Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-01-14 05:22:32",34.027401,73.947253,8540,236,8021,283,"Azad Jammu and Kashmir, Pakistan",211.10574420213155,2.7634660421545667
Balochistan,Pakistan,"2021-01-14 05:22:32",28.328492,65.898403,18488,188,18002,298,"Balochistan, Pakistan",149.7682189376761,1.0168758113370835
Gilgit-Baltistan,Pakistan,"2021-01-14 05:22:32",35.792146,74.982138,4882,101,4746,35,"Gilgit-Baltistan, Pakistan",481.6571690160855,2.0688242523555918
Islamabad,Pakistan,"2021-01-14 05:22:32",33.665087,73.121219,39624,449,37200,1975,"Islamabad, Pakistan",1974.7110993276092,1.1331516252776095
"Khyber Pakhtunkhwa",Pakistan,"2021-01-14 05:22:32",34.485332,72.09169,62377,1752,57313,3312,"Khyber Pakhtunkhwa, Pakistan",204.35816214401746,2.8087275758693107
Punjab,Pakistan,"2021-01-14 05:22:32",30.811346,72.13913199999998,147292,4348,131825,11119,"Punjab, Pakistan",133.88667438179402,2.951959373217826
Sindh,Pakistan,"2021-01-14 05:22:32",26.009446,68.77680699999999,230718,3744,210127,16847,"Sindh, Pakistan",481.8062779910583,1.6227602527761162
