Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-05-31 04:20:51",34.027401,73.947253,43332,792,,,"Azad Jammu and Kashmir, Pakistan",1071.1515348673024,1.827748546109111
Balochistan,Pakistan,"2022-05-31 04:20:51",28.328492,65.898403,35501,378,,,"Balochistan, Pakistan",287.5877077296862,1.0647587391904454
Gilgit-Baltistan,Pakistan,"2022-05-31 04:20:51",35.792146,74.982138,11749,191,,,"Gilgit-Baltistan, Pakistan",1159.154051366241,1.6256702698101966
Islamabad,Pakistan,"2022-05-31 04:20:51",33.665087,73.121219,135401,1024,,,"Islamabad, Pakistan",6747.876477893641,0.7562721102502936
"Khyber Pakhtunkhwa",Pakistan,"2022-05-31 04:20:51",34.485332,72.09169,219686,6324,,,"Khyber Pakhtunkhwa, Pakistan",719.7304648952437,2.878654079003669
Punjab,Pakistan,"2022-05-31 04:20:51",30.811346,72.139132,507178,13564,,,"Punjab, Pakistan",461.0187636776575,2.6744062242447426
Sindh,Pakistan,"2022-05-31 04:20:51",26.009446,68.776807,577540,8106,,,"Sindh, Pakistan",1206.0714716275102,1.403539148803546
