Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-08-12 04:27:29",34.027401,73.947253,2150,59,1915,176,"Azad Jammu and Kashmir, Pakistan",53.14723068320642,2.744186046511628
Balochistan,Pakistan,"2020-08-12 04:27:29",28.328492,65.898403,11921,138,10417,1366,"Balochistan, Pakistan",96.57004207897214,1.1576210049492492
Gilgit-Baltistan,Pakistan,"2020-08-12 04:27:29",35.792146,74.982138,2371,57,1955,359,"Gilgit-Baltistan, Pakistan",233.9223981436171,2.4040489245044285
Islamabad,Pakistan,"2020-08-12 04:27:29",33.665087,73.121219,15281,171,12995,2115,"Islamabad, Pakistan",761.5475547351404,1.1190367122570513
"Khyber Pakhtunkhwa",Pakistan,"2020-08-12 04:27:29",34.485332,72.09169,34755,1231,31691,1833,"Khyber Pakhtunkhwa, Pakistan",113.86357031141807,3.5419364120270465
Punjab,Pakistan,"2020-08-12 04:27:29",30.811346,72.13913199999998,94586,2174,86289,6123,"Punjab, Pakistan",85.97754788499287,2.2984374008838517
Sindh,Pakistan,"2020-08-12 04:27:29",26.009446,68.77680699999999,124127,2282,115984,5861,"Sindh, Pakistan",259.2132727754059,1.8384396626036237
