Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-10-25 04:22:31",34.027401,73.947253,34441,740,,,"Azad Jammu and Kashmir, Pakistan",851.3691962606102,2.1486019569698906
Balochistan,Pakistan,"2021-10-25 04:22:31",28.328491999999997,65.898403,33196,355,,,"Balochistan, Pakistan",268.91528536645905,1.0694059525244006
Gilgit-Baltistan,Pakistan,"2021-10-25 04:22:31",35.792146,74.982138,10383,186,,,"Gilgit-Baltistan, Pakistan",1024.3847574547349,1.791389771742271
Islamabad,Pakistan,"2021-10-25 04:22:31",33.665087,73.121219,106710,938,,,"Islamabad, Pakistan",5318.024969948749,0.87901789897854
"Khyber Pakhtunkhwa",Pakistan,"2021-10-25 04:22:31",34.485332,72.09169,177519,5720,,,"Khyber Pakhtunkhwa, Pakistan",581.5838624115272,3.2221903007565387
Punjab,Pakistan,"2021-10-25 04:22:31",30.811346,72.13913199999998,439171,12896,,,"Punjab, Pakistan",399.20121035037107,2.9364416138588387
Sindh,Pakistan,"2021-10-25 04:22:31",26.009446,68.77680699999999,467814,7551,,,"Sindh, Pakistan",976.9316747375974,1.6141030409521733
