Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-08-31 04:28:27",34.027401,73.947253,2294,61,2115,118,"Azad Jammu and Kashmir, Pakistan",56.706859156872326,2.6591107236268527
Balochistan,Pakistan,"2020-08-31 04:28:27",28.328492,65.898403,12842,141,11701,1000,"Balochistan, Pakistan",104.03091019026593,1.0979598193427815
Gilgit-Baltistan,Pakistan,"2020-08-31 04:28:27",35.792146,74.982138,2863,67,2465,331,"Gilgit-Baltistan, Pakistan",282.46302230500874,2.340202584701362
Islamabad,Pakistan,"2020-08-31 04:28:27",33.665087,73.121219,15611,175,14967,469,"Islamabad, Pakistan",777.9935133152461,1.1210044199602844
"Khyber Pakhtunkhwa",Pakistan,"2020-08-31 04:28:27",34.485332,72.09169,36017,1250,33926,841,"Khyber Pakhtunkhwa, Pakistan",117.99810708980995,3.4705833356470555
Punjab,Pakistan,"2020-08-31 04:28:27",30.811346,72.13913199999998,96741,2196,92471,2074,"Punjab, Pakistan",87.93641722815315,2.2699786026607125
Sindh,Pakistan,"2020-08-31 04:28:27",26.009446,68.77680699999999,129268,2398,122902,3968,"Sindh, Pakistan",269.9491758048706,1.8550608039112542
