Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-06-21 04:20:56",34.027401,73.947253,43362,792,,,"Azad Jammu and Kashmir, Pakistan",1071.8931241326495,1.82648401826484
Balochistan,Pakistan,"2022-06-21 04:20:56",28.328492,65.898403,35512,378,,,"Balochistan, Pakistan",287.67681690365384,1.0644289254336563
Gilgit-Baltistan,Pakistan,"2022-06-21 04:20:56",35.792146,74.982138,11753,191,,,"Gilgit-Baltistan, Pakistan",1159.5486905870653,1.6251169914064494
Islamabad,Pakistan,"2022-06-21 04:20:56",33.665087,73.121219,135783,1025,,,"Islamabad, Pakistan",6766.913920856067,0.7548809497507052
"Khyber Pakhtunkhwa",Pakistan,"2022-06-21 04:20:56",34.485332,72.09169,219798,6324,,,"Khyber Pakhtunkhwa, Pakistan",720.0973968438807,2.8771872355526438
Punjab,Pakistan,"2022-06-21 04:20:56",30.811346,72.139132,507719,13566,,,"Punjab, Pakistan",461.5105262366597,2.671950429272885
Sindh,Pakistan,"2022-06-21 04:20:56",26.009446,68.776807,578339,8108,,,"Sindh, Pakistan",1207.7400159808542,1.4019459175327964
