Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-03-18 05:26:22",34.027401,73.947253,11264,328,10106,830,"Azad Jammu and Kashmir, Pakistan",278.44204949564516,2.9119318181818183
Balochistan,Pakistan,"2021-03-18 05:26:22",28.328492,65.898403,19269,202,18908,159,"Balochistan, Pakistan",156.09497028938122,1.0483159478955837
Gilgit-Baltistan,Pakistan,"2021-03-18 05:26:22",35.792146,74.982138,4965,103,4856,6,"Gilgit-Baltistan, Pakistan",489.84593284819016,2.0745216515609264
Islamabad,Pakistan,"2021-03-18 05:26:22",33.665087,73.121219,49476,531,44828,4117,"Islamabad, Pakistan",2465.697717300949,1.073247635217075
"Khyber Pakhtunkhwa",Pakistan,"2021-03-18 05:26:22",34.485332,72.09169,77443,2188,71297,3958,"Khyber Pakhtunkhwa, Pakistan",253.71706159191916,2.825303771806361
Punjab,Pakistan,"2021-03-18 05:26:22",30.811346,72.13913199999998,191186,5896,174269,11021,"Punjab, Pakistan",173.7857977918534,3.083907817518019
Sindh,Pakistan,"2021-03-18 05:26:22",26.009446,68.77680699999999,262207,4469,253237,4501,"Sindh, Pakistan",547.5644671555815,1.7043786016391629
