Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-09-09 04:21:27",34.027401,73.947253,33037,714,,,"Azad Jammu and Kashmir, Pakistan",816.6628186423676,2.1612131852165755
Balochistan,Pakistan,"2021-09-09 04:21:27",28.328491999999997,65.898403,32480,342,,,"Balochistan, Pakistan",263.1150882245629,1.0529556650246306
Gilgit-Baltistan,Pakistan,"2021-09-09 04:21:27",35.792146,74.982138,10109,179,,,"Gilgit-Baltistan, Pakistan",997.3519708282687,1.7706993767929569
Islamabad,Pakistan,"2021-09-09 04:21:27",33.665087,73.121219,101840,879,,,"Islamabad, Pakistan",5075.322490296884,0.8631186174391202
"Khyber Pakhtunkhwa",Pakistan,"2021-09-09 04:21:27",34.485332,72.09169,166564,5175,,,"Khyber Pakhtunkhwa, Pakistan",545.6933311854709,3.1069138589371055
Punjab,Pakistan,"2021-09-09 04:21:27",30.811346,72.13913199999998,408758,12135,,,"Punjab, Pakistan",371.55615543921834,2.968749235488969
Sindh,Pakistan,"2021-09-09 04:21:27",26.009446,68.77680699999999,441410,7073,,,"Sindh, Pakistan",921.7924443174484,1.6023651480482997
