Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-10-29 04:22:03",34.027401,73.947253,34461,740,,,"Azad Jammu and Kashmir, Pakistan",851.863589104175,2.1473549809930064
Balochistan,Pakistan,"2021-10-29 04:22:03",28.328491999999997,65.898403,33228,356,,,"Balochistan, Pakistan",269.17451205436504,1.0713855784278319
Gilgit-Baltistan,Pakistan,"2021-10-29 04:22:03",35.792146,74.982138,10389,186,,,"Gilgit-Baltistan, Pakistan",1024.9767162859714,1.7903551833670228
Islamabad,Pakistan,"2021-10-29 04:22:03",33.665087,73.121219,106835,939,,,"Islamabad, Pakistan",5324.25449971394,0.8789254457808771
"Khyber Pakhtunkhwa",Pakistan,"2021-10-29 04:22:03",34.485332,72.09169,177807,5738,,,"Khyber Pakhtunkhwa, Pakistan",582.5274017080224,3.227094546333946
Punjab,Pakistan,"2021-10-29 04:22:03",30.811346,72.13913199999998,439845,12909,,,"Punjab, Pakistan",399.8138683259117,2.9348975207175254
Sindh,Pakistan,"2021-10-29 04:22:03",26.009446,68.77680699999999,469122,7563,,,"Sindh, Pakistan",979.6631591107815,1.612160589356287
