Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-12-02 05:27:41",34.027401,73.947253,6982,173,5363,1446,"Azad Jammu and Kashmir, Pakistan",172.59254168844055,2.4778000572901746
Balochistan,Pakistan,"2020-12-02 05:27:41",28.328492,65.898403,17215,169,16466,580,"Balochistan, Pakistan",139.45585725941658,0.9817020040662213
Gilgit-Baltistan,Pakistan,"2020-12-02 05:27:41",35.792146,74.982138,4667,97,4393,177,"Gilgit-Baltistan, Pakistan",460.4453108967782,2.0784229697878724
Islamabad,Pakistan,"2020-12-02 05:27:41",33.665087,73.121219,30748,324,24546,5878,"Islamabad, Pakistan",1532.3646497608856,1.053727071679459
"Khyber Pakhtunkhwa",Pakistan,"2020-12-02 05:27:41",34.485332,72.09169,47701,1375,42130,4196,"Khyber Pakhtunkhwa, Pakistan",156.27697216011953,2.8825391501226387
Punjab,Pakistan,"2020-12-02 05:27:41",30.811346,72.13913199999998,120356,3066,98825,18465,"Punjab, Pakistan",109.40217107443176,2.547442586991924
Sindh,Pakistan,"2020-12-02 05:27:41",26.009446,68.77680699999999,175642,2962,153642,19038,"Sindh, Pakistan",366.7915736045973,1.6863848054565538
