Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-07-21 04:21:40",34.027401,73.947253,22339,605,20117,1617,"Azad Jammu and Kashmir, Pakistan",552.2120866196037,2.708268051389946
Balochistan,Pakistan,"2021-07-21 04:21:40",28.328492,65.898403,29242,320,27412,1510,"Balochistan, Pakistan",236.88458774207723,1.094316394227481
Gilgit-Baltistan,Pakistan,"2021-07-21 04:21:40",35.792146,74.982138,7535,122,6607,806,"Gilgit-Baltistan, Pakistan",743.4016322278173,1.619110816191108
Islamabad,Pakistan,"2021-07-21 04:21:40",33.665087,73.121219,85028,788,82030,2210,"Islamabad, Pakistan",4237.475654997677,0.9267535400103495
"Khyber Pakhtunkhwa",Pakistan,"2021-07-21 04:21:40",34.485332,72.09169,141138,4397,134433,2308,"Khyber Pakhtunkhwa, Pakistan",462.39322648864703,3.1153906106080576
Punjab,Pakistan,"2021-07-21 04:21:40",30.811346,72.13913199999998,351345,10900,330004,10441,"Punjab, Pakistan",319.36842198266993,3.1023637734989826
Sindh,Pakistan,"2021-07-21 04:21:40",26.009446,68.77680699999999,359824,5756,321431,32637,"Sindh, Pakistan",751.4171506854888,1.5996709502423407
