Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-09-27 04:21:16",34.027401,73.947253,34046,735,,,"Azad Jammu and Kashmir, Pakistan",841.6049376002072,2.158843917053398
Balochistan,Pakistan,"2021-09-27 04:21:16",28.328491999999997,65.898403,32861,346,,,"Balochistan, Pakistan",266.2015059774434,1.0529198746234139
Gilgit-Baltistan,Pakistan,"2021-09-27 04:21:16",35.792146,74.982138,10299,184,,,"Gilgit-Baltistan, Pakistan",1016.097333817424,1.7865812214778134
Islamabad,Pakistan,"2021-09-27 04:21:16",33.665087,73.121219,105120,916,,,"Islamabad, Pakistan",5238.785351335511,0.8713850837138508
"Khyber Pakhtunkhwa",Pakistan,"2021-09-27 04:21:16",34.485332,72.09169,173210,5507,,,"Khyber Pakhtunkhwa, Pakistan",567.4668109233412,3.179377634085792
Punjab,Pakistan,"2021-09-27 04:21:16",30.811346,72.13913199999998,429081,12559,,,"Punjab, Pakistan",390.02952047914727,2.926953185995185
Sindh,Pakistan,"2021-09-27 04:21:16",26.009446,68.77680699999999,455808,7350,,,"Sindh, Pakistan",951.8596553305264,1.6125210614995789
