Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-03-02 05:23:30",34.027401,73.947253,10280,306,9262,712,"Azad Jammu and Kashmir, Pakistan",254.11792159226133,2.9766536964980546
Balochistan,Pakistan,"2021-03-02 05:23:30",28.328492,65.898403,19066,200,18762,104,"Balochistan, Pakistan",154.4505009879777,1.0489877268435959
Gilgit-Baltistan,Pakistan,"2021-03-02 05:23:30",35.792146,74.982138,4956,102,4845,9,"Gilgit-Baltistan, Pakistan",488.95799460133554,2.0581113801452786
Islamabad,Pakistan,"2021-03-02 05:23:30",33.665087,73.121219,44516,501,42203,1812,"Islamabad, Pakistan",2218.509976218147,1.1254380447479557
"Khyber Pakhtunkhwa",Pakistan,"2021-03-02 05:23:30",34.485332,72.09169,72615,2085,68225,2305,"Khyber Pakhtunkhwa, Pakistan",237.89967366317435,2.8713075810782898
Punjab,Pakistan,"2021-03-02 05:23:30",30.811346,72.13913199999998,172683,5391,161895,5397,"Punjab, Pakistan",156.9667910835031,3.1219054568197215
Sindh,Pakistan,"2021-03-02 05:23:30",26.009446,68.77680699999999,258412,4353,242214,11845,"Sindh, Pakistan",539.639403549898,1.6845192947695928
