Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-03-27 04:20:47",34.027401,73.947253,43244,792,,,"Azad Jammu and Kashmir, Pakistan",1068.9762063556177,1.831467949310887
Balochistan,Pakistan,"2022-03-27 04:20:47",28.328491999999997,65.898403,35469,378,,,"Balochistan, Pakistan",287.3284810417802,1.0657193605683837
Gilgit-Baltistan,Pakistan,"2022-03-27 04:20:47",35.792146,74.982138,11695,191,,,"Gilgit-Baltistan, Pakistan",1153.8264218851127,1.6331765711842667
Islamabad,Pakistan,"2022-03-27 04:20:47",33.665087,73.121219,135023,1023,,,"Islamabad, Pakistan",6729.038379883702,0.7576486968886782
"Khyber Pakhtunkhwa",Pakistan,"2022-03-27 04:20:47",34.485332,72.09169,218898,6315,,,"Khyber Pakhtunkhwa, Pakistan",717.1488365423335,2.8849052983581394
Punjab,Pakistan,"2022-03-27 04:20:47",30.811346,72.13913199999998,504841,13551,,,"Punjab, Pakistan",458.89445850133933,2.6842114645997452
Sindh,Pakistan,"2022-03-27 04:20:47",26.009446,68.77680699999999,574730,8095,,,"Sindh, Pakistan",1200.2033744649355,1.408487463678597
