Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-06-30 04:21:41",34.027401,73.947253,20293,582,19278,433,"Azad Jammu and Kashmir, Pakistan",501.63569872293385,2.8679840339033165
Balochistan,Pakistan,"2021-06-30 04:21:41",28.328492,65.898403,27145,308,26136,701,"Balochistan, Pakistan",219.89713885023892,1.1346472646896297
Gilgit-Baltistan,Pakistan,"2021-06-30 04:21:41",35.792146,74.982138,6098,111,5728,259,"Gilgit-Baltistan, Pakistan",601.6274921466795,1.8202689406362742
Islamabad,Pakistan,"2021-06-30 04:21:41",33.665087,73.121219,82652,777,80924,951,"Islamabad, Pakistan",4119.064753220916,0.9400861443159271
"Khyber Pakhtunkhwa",Pakistan,"2021-06-30 04:21:41",34.485332,72.09169,137951,4316,132087,1548,"Khyber Pakhtunkhwa, Pakistan",451.95204684305673,3.1286471283281747
Punjab,Pakistan,"2021-06-30 04:21:41",30.811346,72.13913199999998,346180,10747,326994,8439,"Punjab, Pakistan",314.67349847574513,3.1044543301172802
Sindh,Pakistan,"2021-06-30 04:21:41",26.009446,68.77680699999999,337052,5440,312337,19275,"Sindh, Pakistan",703.8625924697778,1.6139942798143907
