Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-05-24 04:20:57",34.027401,73.947253,43328,792,,,"Azad Jammu and Kashmir, Pakistan",1071.0526562985897,1.827917282127031
Balochistan,Pakistan,"2022-05-24 04:20:57",28.328492,65.898403,35497,378,,,"Balochistan, Pakistan",287.55530439369795,1.0648787221455334
Gilgit-Baltistan,Pakistan,"2022-05-24 04:20:57",35.792146,74.982138,11748,191,,,"Gilgit-Baltistan, Pakistan",1159.0553915610349,1.6258086482805585
Islamabad,Pakistan,"2022-05-24 04:20:57",33.665087,73.121219,135346,1024,,,"Islamabad, Pakistan",6745.135484796957,0.7565794334520415
"Khyber Pakhtunkhwa",Pakistan,"2022-05-24 04:20:57",34.485332,72.09169,219642,6324,,,"Khyber Pakhtunkhwa, Pakistan",719.5863130582792,2.879230748217554
Punjab,Pakistan,"2022-05-24 04:20:57",30.811346,72.139132,506974,13564,,,"Punjab, Pakistan",460.8333301064256,2.6754823718770586
Sindh,Pakistan,"2022-05-24 04:20:57",26.009446,68.776807,577302,8106,,,"Sindh, Pakistan",1205.5744584158756,1.4041177754450878
