Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-03-26 05:26:55",34.027401,73.947253,12095,340,10575,1180,"Azad Jammu and Kashmir, Pakistan",298.98407214575883,2.8110789582472098
Balochistan,Pakistan,"2021-03-26 05:26:55",28.328492,65.898403,19427,205,19003,219,"Balochistan, Pakistan",157.37490206091698,1.0552324085036289
Gilgit-Baltistan,Pakistan,"2021-03-26 05:26:55",35.792146,74.982138,4983,103,4858,22,"Gilgit-Baltistan, Pakistan",491.6218093418996,2.0670278948424645
Islamabad,Pakistan,"2021-03-26 05:26:55",33.665087,73.121219,54347,555,46478,7314,"Islamabad, Pakistan",2708.4500331909344,1.0212155224759416
"Khyber Pakhtunkhwa",Pakistan,"2021-03-26 05:26:55",34.485332,72.09169,82677,2260,73481,6936,"Khyber Pakhtunkhwa, Pakistan",270.86457783447315,2.7335292765823627
Punjab,Pakistan,"2021-03-26 05:26:55",30.811346,72.13913199999998,207765,6142,181351,20272,"Punjab, Pakistan",188.85591140682067,2.9562245806560297
Sindh,Pakistan,"2021-03-26 05:26:55",26.009446,68.77680699999999,264062,4486,255399,4177,"Sindh, Pakistan",551.4382465992028,1.6988434534313912
