Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-11-15 05:26:53",34.027401,73.947253,5349,119,3945,1285,"Azad Jammu and Kashmir, Pakistan",132.2253660113819,2.224714899981305
Balochistan,Pakistan,"2020-11-15 05:26:53",28.328492,65.898403,16393,156,15817,420,"Balochistan, Pakistan",132.79697171383188,0.9516256938937351
Gilgit-Baltistan,Pakistan,"2020-11-15 05:26:53",35.792146,74.982138,4447,93,4192,162,"Gilgit-Baltistan, Pakistan",438.7401537514405,2.091297503935237
Islamabad,Pakistan,"2020-11-15 05:26:53",33.665087,73.121219,23994,255,20274,3465,"Islamabad, Pakistan",1195.7706974880546,1.0627656914228558
"Khyber Pakhtunkhwa",Pakistan,"2020-11-15 05:26:53",34.485332,72.09169,41990,1309,38824,1857,"Khyber Pakhtunkhwa, Pakistan",137.56671895774556,3.117408906882591
Punjab,Pakistan,"2020-11-15 05:26:53",30.811346,72.13913199999998,109993,2471,97756,9766,"Punjab, Pakistan",99.98232745347113,2.246506595874283
Sindh,Pakistan,"2020-11-15 05:26:53",26.009446,68.77680699999999,154738,2738,142417,9583,"Sindh, Pakistan",323.1379426129751,1.7694425415864234
