Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-04-18 04:21:12",34.027401,73.947253,43306,792,,,"Azad Jammu and Kashmir, Pakistan",1070.5088241706683,1.8288458874059021
Balochistan,Pakistan,"2022-04-18 04:21:12",28.328491999999997,65.898403,35483,378,,,"Balochistan, Pakistan",287.44189271773905,1.0652988755178536
Gilgit-Baltistan,Pakistan,"2022-04-18 04:21:12",35.792146,74.982138,11735,191,,,"Gilgit-Baltistan, Pakistan",1157.772814093356,1.6276097145291861
Islamabad,Pakistan,"2022-04-18 04:21:12",33.665087,73.121219,135157,1023,,,"Islamabad, Pakistan",6735.716435791987,0.7568975339790022
"Khyber Pakhtunkhwa",Pakistan,"2022-04-18 04:21:12",34.485332,72.09169,219385,6323,,,"Khyber Pakhtunkhwa, Pakistan",718.7443352832817,2.88214782232149
Punjab,Pakistan,"2022-04-18 04:21:12",30.811346,72.13913199999998,505690,13559,,,"Punjab, Pakistan",459.66618939337786,2.681286954458265
Sindh,Pakistan,"2022-04-18 04:21:12",26.009446,68.77680699999999,576570,8098,,,"Sindh, Pakistan",1204.0458295464791,1.404512895225211
