Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-09-02 04:28:25",34.027401,73.947253,2299,63,2122,114,"Azad Jammu and Kashmir, Pakistan",56.83045736776351,2.74032187907786
Balochistan,Pakistan,"2020-09-02 04:28:25",28.328492,65.898403,12879,141,11794,944,"Balochistan, Pakistan",104.33064104815719,1.0948054973212207
Gilgit-Baltistan,Pakistan,"2020-09-02 04:28:25",35.792146,74.982138,2903,67,2503,333,"Gilgit-Baltistan, Pakistan",286.409414513252,2.3079572855666552
Islamabad,Pakistan,"2020-09-02 04:28:25",33.665087,73.121219,15649,175,15000,474,"Islamabad, Pakistan",779.8872903638644,1.1182823183590005
"Khyber Pakhtunkhwa",Pakistan,"2020-09-02 04:28:25",34.485332,72.09169,36118,1250,33978,890,"Khyber Pakhtunkhwa, Pakistan",118.32900107920584,3.460878232460269
Punjab,Pakistan,"2020-09-02 04:28:25",30.811346,72.13913199999998,96832,2199,92499,2134,"Punjab, Pakistan",88.01913514473209,2.2709434897554526
Sindh,Pakistan,"2020-09-02 04:28:25",26.009446,68.77680699999999,129469,2403,123074,3992,"Sindh, Pakistan",270.3689222567131,1.856042759270559
