Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-11-28 05:25:50",34.027401,73.947253,6556,161,4989,1406,"Azad Jammu and Kashmir, Pakistan",162.06197412051222,2.455765710799268
Balochistan,Pakistan,"2020-11-28 05:25:50",28.328492,65.898403,17046,165,16244,637,"Balochistan, Pakistan",138.08681631391315,0.9679690249912003
Gilgit-Baltistan,Pakistan,"2020-11-28 05:25:50",35.792146,74.982138,4619,97,4347,175,"Gilgit-Baltistan, Pakistan",455.7096402468863,2.100021649707729
Islamabad,Pakistan,"2020-11-28 05:25:50",33.665087,73.121219,29427,307,23092,6028,"Islamabad, Pakistan",1466.530979202341,1.0432595915315865
"Khyber Pakhtunkhwa",Pakistan,"2020-11-28 05:25:50",34.485332,72.09169,46604,1355,41477,3772,"Khyber Pakhtunkhwa, Pakistan",152.6830047703447,2.9074757531542357
Punjab,Pakistan,"2020-11-28 05:25:50",30.811346,72.13913199999998,117898,2960,98289,16649,"Punjab, Pakistan",107.16787833870646,2.5106447946530053
Sindh,Pakistan,"2020-11-28 05:25:50",26.009446,68.77680699999999,170206,2897,149115,18194,"Sindh, Pakistan",355.43962478760244,1.7020551566924784
