Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2022-06-07 04:21:08",34.027401,73.947253,43340,792,,,"Azad Jammu and Kashmir, Pakistan",1071.3492920047283,1.8274111675126903
Balochistan,Pakistan,"2022-06-07 04:21:08",28.328492,65.898403,35503,378,,,"Balochistan, Pakistan",287.6039093976803,1.064698757851449
Gilgit-Baltistan,Pakistan,"2022-06-07 04:21:08",35.792146,74.982138,11750,191,,,"Gilgit-Baltistan, Pakistan",1159.2527111714471,1.625531914893617
Islamabad,Pakistan,"2022-06-07 04:21:08",33.665087,73.121219,135478,1024,,,"Islamabad, Pakistan",6751.713868229,0.7558422769748594
"Khyber Pakhtunkhwa",Pakistan,"2022-06-07 04:21:08",34.485332,72.09169,219705,6324,,,"Khyber Pakhtunkhwa, Pakistan",719.7927122793875,2.8784051341571653
Punjab,Pakistan,"2022-06-07 04:21:08",30.811346,72.139132,507336,13564,,,"Punjab, Pakistan",461.1623837965528,2.673573332071842
Sindh,Pakistan,"2022-06-07 04:21:08",26.009446,68.776807,577702,8106,,,"Sindh, Pakistan",1206.4097747379503,1.4031455663992853
