Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-05-29 04:20:41",34.027401,73.947253,19108,539,17091,1478,"Azad Jammu and Kashmir, Pakistan",472.34292274172475,2.820808038517898
Balochistan,Pakistan,"2021-05-29 04:20:41",28.328492,65.898403,25001,273,23565,1163,"Balochistan, Pakistan",202.5289507605387,1.0919563217471302
Gilgit-Baltistan,Pakistan,"2021-05-29 04:20:41",35.792146,74.982138,5561,107,5344,110,"Gilgit-Baltistan, Pakistan",548.6471767510142,1.924114367919439
Islamabad,Pakistan,"2021-05-29 04:20:41",33.665087,73.121219,81007,755,74271,5981,"Islamabad, Pakistan",4037.084141510995,0.9320182206475983
"Khyber Pakhtunkhwa",Pakistan,"2021-05-29 04:20:41",34.485332,72.09169,131775,4043,122181,5551,"Khyber Pakhtunkhwa, Pakistan",431.7183708182166,3.0681085183077217
Punjab,Pakistan,"2021-05-29 04:20:41",30.811346,72.13913199999998,338377,9960,308275,20142,"Punjab, Pakistan",307.58066437612575,2.9434624693758735
Sindh,Pakistan,"2021-05-29 04:20:41",26.009446,68.77680699999999,315410,5003,285975,24432,"Sindh, Pakistan",658.6678028639279,1.5861894042674614
