Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-09-30 04:21:20",34.027401,73.947253,34127,738,,,"Azad Jammu and Kashmir, Pakistan",843.6072286166443,2.1625106220880825
Balochistan,Pakistan,"2021-09-30 04:21:20",28.328491999999997,65.898403,32916,348,,,"Balochistan, Pakistan",266.6470518472818,1.057236602260299
Gilgit-Baltistan,Pakistan,"2021-09-30 04:21:20",35.792146,74.982138,10321,184,,,"Gilgit-Baltistan, Pakistan",1018.2678495319577,1.7827729871136517
Islamabad,Pakistan,"2021-09-30 04:21:20",33.665087,73.121219,105417,923,,,"Islamabad, Pakistan",5253.5867140576065,0.8755703539277346
"Khyber Pakhtunkhwa",Pakistan,"2021-09-30 04:21:20",34.485332,72.09169,173796,5537,,,"Khyber Pakhtunkhwa, Pakistan",569.3866512974598,3.1859191235701627
Punjab,Pakistan,"2021-09-30 04:21:20",30.811346,72.13913199999998,431092,12617,,,"Punjab, Pakistan",391.857495536732,2.926753454019096
Sindh,Pakistan,"2021-09-30 04:21:20",26.009446,68.77680699999999,457458,7382,,,"Sindh, Pakistan",955.3053351590843,1.613700055524223
