Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-06-28 04:34:04",34.027401,73.947253,1027,28,465,534,"Azad Jammu and Kashmir, Pakistan",25.3870725170479,2.726387536514119
Balochistan,Pakistan,"2020-06-28 04:34:04",28.328492,65.898403,10261,114,3810,6337,"Balochistan, Pakistan",83.12265764384975,1.1110028262352598
Gilgit-Baltistan,Pakistan,"2020-06-28 04:34:04",35.792146,74.982138,1423,24,1062,337,"Gilgit-Baltistan, Pakistan",140.3929028082527,1.6865776528460998
Islamabad,Pakistan,"2020-06-28 04:34:04",33.665087,73.121219,12395,122,6532,5741,"Islamabad, Pakistan",617.7201715163972,0.9842678499394917
"Khyber Pakhtunkhwa",Pakistan,"2020-06-28 04:34:04",34.485332,72.09169,25380,914,12149,12317,"Khyber Pakhtunkhwa, Pakistan",83.14940050363376,3.6012608353033886
Punjab,Pakistan,"2020-06-28 04:34:04",30.811346,72.13913199999998,74202,1673,25162,47367,"Punjab, Pakistan",67.44873457131331,2.2546562087275275
Sindh,Pakistan,"2020-06-28 04:34:04",26.009446,68.77680699999999,78267,1243,43444,33580,"Sindh, Pakistan",163.44425644954518,1.5881533724302708
