Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-08-30 04:21:23",34.027401,73.947253,31988,695,,,"Azad Jammu and Kashmir, Pakistan",790.7319139973986,2.172689758659497
Balochistan,Pakistan,"2021-08-30 04:21:23",28.328491999999997,65.898403,32200,338,,,"Balochistan, Pakistan",260.84685470538557,1.049689440993789
Gilgit-Baltistan,Pakistan,"2021-08-30 04:21:23",35.792146,74.982138,9870,173,,,"Gilgit-Baltistan, Pakistan",973.7722773840156,1.7527862208713272
Islamabad,Pakistan,"2021-08-30 04:21:23",33.665087,73.121219,98951,863,,,"Islamabad, Pakistan",4931.345598363777,0.8721488413457166
"Khyber Pakhtunkhwa",Pakistan,"2021-08-30 04:21:23",34.485332,72.09169,161381,4944,,,"Khyber Pakhtunkhwa, Pakistan",528.7129000266714,3.0635576678791185
Punjab,Pakistan,"2021-08-30 04:21:23",30.811346,72.13913199999998,391297,11823,,,"Punjab, Pakistan",355.68431432510147,3.021490070202429
Sindh,Pakistan,"2021-08-30 04:21:23",26.009446,68.77680699999999,430594,6834,,,"Sindh, Pakistan",899.2054909685495,1.5871098993483421
