Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2020-09-10 04:29:01",34.027401,73.947253,2356,65,2200,91,"Azad Jammu and Kashmir, Pakistan",58.23947697192293,2.7589134125636674
Balochistan,Pakistan,"2020-09-10 04:29:01",28.328492,65.898403,13402,145,11907,977,"Balochistan, Pakistan",107.91120967485844,1.0819280704372483
Gilgit-Baltistan,Pakistan,"2020-09-10 04:29:01",35.792146,74.982138,3137,73,2757,307,"Gilgit-Baltistan, Pakistan",309.49580893147487,2.327064073956009
Islamabad,Pakistan,"2020-09-10 04:29:01",33.665087,73.121219,15804,177,15244,383,"Islamabad, Pakistan",787.6119072727021,1.119969627942293
"Khyber Pakhtunkhwa",Pakistan,"2020-09-10 04:29:01",34.485332,72.09169,36755,1256,34703,796,"Khyber Pakhtunkhwa, Pakistan",120.41592653707876,3.4172221466467145
Punjab,Pakistan,"2020-09-10 04:29:01",30.811346,72.13913199999998,97461,2213,94244,1004,"Punjab, Pakistan",88.59088865603037,2.2706518504837834
Sindh,Pakistan,"2020-09-10 04:29:01",26.009446,68.77680699999999,131115,2436,126603,2076,"Sindh, Pakistan",273.8062489220504,1.8579109941654273
