Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
"Azad Jammu and Kashmir",Pakistan,"2021-08-09 04:21:24",34.027401,73.947253,27288,646,"Azad Jammu and Kashmir, Pakistan",674.5495957596914,2.367340955731457
Balochistan,Pakistan,"2021-08-09 04:21:24",28.328492,65.898403,31177,331,"Balochistan, Pakistan",252.55970152639154,1.0616800846778074
Gilgit-Baltistan,Pakistan,"2021-08-09 04:21:24",35.792146,74.982138,8796,153,"Gilgit-Baltistan, Pakistan",867.811646592685,1.7394270122783084
Islamabad,Pakistan,"2021-08-09 04:21:24",33.665087,73.121219,90660,816,"Islamabad, Pakistan",4518.15334809815,0.900066181336863
"Khyber Pakhtunkhwa",Pakistan,"2021-08-09 04:21:24",34.485332,72.09169,148619,4556,"Khyber Pakhtunkhwa, Pakistan",486.9023149507307,3.065556893802273
Punjab,Pakistan,"2021-08-09 04:21:24",30.811346,72.13913199999998,364680,11201,"Punjab, Pakistan",331.48977821981265,3.0714599100581332
Sindh,Pakistan,"2021-08-09 04:21:24",26.009446,68.77680699999999,400400,6215,"Sindh, Pakistan",836.1516383967431,1.5521978021978022
