Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
,Pakistan,"2020-05-25 02:32:44",30.3753,69.3451,54601,1133,17198,36270,Pakistan,,
,Pakistan,"2020-05-26 02:32:35",30.3753,69.3451,56349,1167,17482,37700,Pakistan,,
,Pakistan,"2020-05-27 02:32:31",30.3753,69.3451,57705,1197,18314,38194,Pakistan,,
,Pakistan,"2020-05-28 02:32:31",30.3753,69.3451,59151,1225,19142,38784,Pakistan,,
,Pakistan,"2020-05-29 02:32:50",30.3753,69.3451,61227,1260,20231,39736,Pakistan,,
,Pakistan,"2020-05-30 02:32:48",30.3753,69.3451,64028,1317,22305,40406,Pakistan,28.98606742485777,2.0569126007371774
,Pakistan,"2020-05-31 02:32:45",30.3753,69.3451,66457,1395,24131,40931,Pakistan,30.08569817663792,2.0991016747671427
,Pakistan,"2020-06-01 02:32:46",30.3753,69.3451,69496,1483,25271,42742,Pakistan,31.461481566781963,2.133935766087257
,Pakistan,"2020-06-02 02:33:08",30.3753,69.3451,72460,1543,26083,44834,Pakistan,32.80331176368454,2.129450731438035
,Pakistan,"2020-06-03 02:33:13",30.3753,69.3451,76398,1621,27110,47667,Pakistan,34.58608076348291,2.121783292756355
,Pakistan,"2020-06-04 02:33:14",30.3753,69.3451,80463,1688,28923,49852,Pakistan,36.42634383717016,2.097858643103041
,Pakistan,"2020-06-05 02:33:06",30.3753,69.3451,85264,1770,30128,53366,Pakistan,38.59980091386694,2.0759054231563145
,Pakistan,"2020-06-06 02:33:00",30.3753,69.3451,89249,1838,31198,56213,Pakistan,40.40384724809663,2.0594068280877096
,Pakistan,"2020-06-07 03:53:30",30.3753,69.3451,93983,1935,32581,59467,Pakistan,42.54697280549772,2.05888298947682
,Pakistan,"2020-06-08 03:33:22",30.3753,69.3451,98943,2002,33465,63476,Pakistan,44.792410651866405,2.0233872027328865
,Pakistan,"2020-06-09 03:33:03",30.3753,69.3451,108317,2172,35018,71127,Pakistan,49.036107097805946,2.0052254032146384
,Pakistan,"2020-06-10 04:07:00",30.3753,69.3451,113702,2255,36308,75139,Pakistan,51.47394637254292,1.9832544722168475
"Azad Jammu and Kashmir",Pakistan,"2020-06-11 03:33:41",34.027401,73.947253,444,9,217,218,"Azad Jammu and Kashmir, Pakistan",10.975521127136581,2.027027027027027
Balochistan,Pakistan,"2020-06-11 03:33:41",28.328491999999997,65.898403,7031,62,2462,4507,"Balochistan, Pakistan",56.95696383334057,0.8818091309913242
